analysis,chr,gwaa_hit_bp,gene_start_bp,gene_end_bp,gene_id,gene_name,gene_biotype
"GxE meta-analysis, day length",10,35882541,35842418,35853157,ENSBTAG00000054965,,lncRNA
"GxE meta-analysis, day length",10,35882541,35857579,35895687,ENSBTAG00000019076,PAK6,protein_coding
"GxE meta-analysis, day length",10,35882541,35899557,35900705,ENSBTAG00000046052,ANKRD63,protein_coding
"GxE meta-analysis, day length",10,35882541,35905190,35927228,ENSBTAG00000019079,PLCB2,protein_coding
"GxE meta-analysis, day length",10,62149737,62094457,62180991,ENSBTAG00000010145,SLC12A1,protein_coding
"GxE meta-analysis, day length",10,62153542,62094457,62180991,ENSBTAG00000010145,SLC12A1,protein_coding
"GxE meta-analysis, day length",10,62155023,62094457,62180991,ENSBTAG00000010145,SLC12A1,protein_coding
"GxE meta-analysis, day length",10,62149737,62186831,62192924,ENSBTAG00000045847,CTXN2,protein_coding
"GxE meta-analysis, day length",10,62153542,62186831,62192924,ENSBTAG00000045847,CTXN2,protein_coding
"GxE meta-analysis, day length",10,62155023,62186831,62192924,ENSBTAG00000045847,CTXN2,protein_coding
"Main effect, meta-analysis",10,79637315,79579851,79589018,ENSBTAG00000012838,RDH12,protein_coding
"Main effect, meta-analysis",10,79637315,79599600,79667575,ENSBTAG00000014334,ZFYVE26,protein_coding
"Main effect, meta-analysis",10,79637315,79669849,80286850,ENSBTAG00000018971,RAD51B,protein_coding
"Main effect, meta-analysis",10,79850486,79669849,80286850,ENSBTAG00000018971,RAD51B,protein_coding
"GxE meta-analysis, day length",11,2185506,2042277,2138470,ENSBTAG00000017955,KCNIP3,protein_coding
"GxE meta-analysis, day length",11,2185506,2153786,2164529,ENSBTAG00000011553,FAHD2A,protein_coding
"GxE meta-analysis, day length",11,2185506,2164621,2174030,ENSBTAG00000011558,GPAT2,protein_coding
"GxE meta-analysis, day length",11,7328227,7241330,7296376,ENSBTAG00000024075,SLC9A4,protein_coding
"GxE meta-analysis, day length",11,7328227,7335538,7424633,ENSBTAG00000001706,SLC9A2,protein_coding
"GxE meta-analysis, day length",11,7529051,7459624,7502937,ENSBTAG00000038462,TMEM182,protein_coding
"GxE meta-analysis, day length",11,7530989,7459624,7502937,ENSBTAG00000038462,TMEM182,protein_coding
"GxE meta-analysis, day length",11,7532211,7459624,7502937,ENSBTAG00000038462,TMEM182,protein_coding
"GxE meta-analysis, day length",11,22824724,22854313,22869278,ENSBTAG00000051275,,lncRNA
"GxE meta-analysis, day length",11,22838350,22854313,22869278,ENSBTAG00000051275,,lncRNA
"Main effect, DEBVs",11,64825429,64808522,64951995,ENSBTAG00000008448,MEIS1,protein_coding
COJO of main effect meta-analysis,11,65438305,65838846,65852520,ENSBTAG00000011727,ETAA1,protein_coding
COJO of main effect meta-analysis,11,69156359,69068510,69144508,ENSBTAG00000008946,CAPN13,protein_coding
"Main effect, DEBVs",11,69692473,69617500,69644870,ENSBTAG00000026111,LBH,protein_coding
"Main effect, meta-analysis",11,69692473,69617500,69644870,ENSBTAG00000026111,LBH,protein_coding
COJO of main effect meta-analysis,11,69808147,69713717,69727353,ENSBTAG00000023744,YPEL5,protein_coding
COJO of main effect meta-analysis,11,69925008,69713717,69727353,ENSBTAG00000023744,YPEL5,protein_coding
"Main effect, DEBVs",11,69692473,69713717,69727353,ENSBTAG00000023744,YPEL5,protein_coding
"Main effect, meta-analysis",11,69692473,69713717,69727353,ENSBTAG00000023744,YPEL5,protein_coding
"Main effect, meta-analysis",11,69736802,69713717,69727353,ENSBTAG00000023744,YPEL5,protein_coding
COJO of main effect meta-analysis,11,70125383,70153921,70661150,ENSBTAG00000007379,ALK,protein_coding
COJO of main effect meta-analysis,11,70125857,70153921,70661150,ENSBTAG00000007379,ALK,protein_coding
"Main effect, DEBVs",11,70115069,70153921,70661150,ENSBTAG00000007379,ALK,protein_coding
"Main effect, meta-analysis",11,70115069,70153921,70661150,ENSBTAG00000007379,ALK,protein_coding
"Main effect, meta-analysis",11,70116120,70153921,70661150,ENSBTAG00000007379,ALK,protein_coding
COJO of main effect meta-analysis,11,72503157,72478712,72485928,ENSBTAG00000054302,TCF23,protein_coding
COJO of main effect meta-analysis,11,72503157,72502083,72503279,ENSBTAG00000047596,PRR30,protein_coding
COJO of main effect meta-analysis,11,72503157,72504307,72515568,ENSBTAG00000007077,ABHD1,protein_coding
COJO of main effect meta-analysis,11,72503157,72504307,72508662,ENSBTAG00000007080,PREB,protein_coding
COJO of main effect meta-analysis,11,72503157,72519185,72535548,ENSBTAG00000051104,CGREF1,protein_coding
COJO of main effect meta-analysis,11,72503157,72537265,72549970,ENSBTAG00000011325,KHK,protein_coding
COJO of main effect meta-analysis,11,72503157,72551220,72559504,ENSBTAG00000011324,EMILIN1,protein_coding
COJO of main effect meta-analysis,11,79903869,80143746,80157733,ENSBTAG00000005270,NT5C1B,protein_coding
COJO of main effect meta-analysis,11,80516494,80654320,80742828,ENSBTAG00000051528,,lncRNA
"GxE meta-analysis, day length",11,90370665,90342081,90343159,ENSBTAG00000051441,,protein_coding
"GxE meta-analysis, day length",11,95390499,95315044,95401330,ENSBTAG00000019470,NEK6,protein_coding
"GxE meta-analysis, day length",11,95390499,95402062,95459519,ENSBTAG00000003067,PSMB7,protein_coding
"GxE meta-analysis, day length",11,99466404,99394202,99421595,ENSBTAG00000013030,LRRC8A,protein_coding
"GxE meta-analysis, day length",11,99466404,99424317,99441357,ENSBTAG00000038831,PHYHD1,protein_coding
"GxE meta-analysis, day length",11,99466404,99443621,99445710,ENSBTAG00000010601,DOLK,protein_coding
"GxE meta-analysis, day length",11,99466404,99445824,99489060,ENSBTAG00000010613,NUP188,protein_coding
"GxE meta-analysis, day length",11,99500334,99445824,99489060,ENSBTAG00000010613,NUP188,protein_coding
"GxE meta-analysis, day length",11,99466404,99489805,99506890,ENSBTAG00000010626,SH3GLB2,protein_coding
"GxE meta-analysis, day length",11,99500334,99489805,99506890,ENSBTAG00000010626,SH3GLB2,protein_coding
"GxE meta-analysis, day length",11,99466404,99510597,99535599,ENSBTAG00000010653,MIGA2,protein_coding
"GxE meta-analysis, day length",11,99500334,99510597,99535599,ENSBTAG00000010653,MIGA2,protein_coding
"GxE meta-analysis, day length",11,99500334,99546701,99556056,ENSBTAG00000017922,DOLPP1,protein_coding
"GxE meta-analysis, day length",12,22358320,22400962,22449671,ENSBTAG00000053790,,lncRNA
"GxE meta-analysis, day length",12,54729297,54703849,54704052,ENSBTAG00000052145,,processed_pseudogene
"GxE meta-analysis, day length",12,66767180,65755349,66788079,ENSBTAG00000008708,GPC5,protein_coding
"GxE meta-analysis, day length",12,66790213,65755349,66788079,ENSBTAG00000008708,GPC5,protein_coding
"GxE meta-analysis, day length",12,66809173,65755349,66788079,ENSBTAG00000008708,GPC5,protein_coding
"GxE meta-analysis, day length",12,66828355,65755349,66788079,ENSBTAG00000008708,GPC5,protein_coding
"GxE meta-analysis, day length",12,68252155,67702395,68209239,ENSBTAG00000040347,GPC6,protein_coding
"Main effect, DEBVs",12,69237959,69202956,69203789,ENSBTAG00000022484,SOX21,protein_coding
"Main effect, DEBVs",12,69239506,69202956,69203789,ENSBTAG00000022484,SOX21,protein_coding
COJO of main effect meta-analysis,12,69570311,69482002,69666089,ENSBTAG00000032603,,protein_coding
"Main effect, DEBVs",12,69570311,69482002,69666089,ENSBTAG00000032603,,protein_coding
"Main effect, DEBVs",12,69573722,69482002,69666089,ENSBTAG00000032603,,protein_coding
"Main effect, DEBVs",12,69574939,69482002,69666089,ENSBTAG00000032603,,protein_coding
"Main effect, meta-analysis",12,69546837,69482002,69666089,ENSBTAG00000032603,,protein_coding
"Main effect, meta-analysis",12,69570311,69482002,69666089,ENSBTAG00000032603,,protein_coding
"Main effect, meta-analysis",12,69573722,69482002,69666089,ENSBTAG00000032603,,protein_coding
"Main effect, meta-analysis",12,69574939,69482002,69666089,ENSBTAG00000032603,,protein_coding
"GxE meta-analysis, day length",12,77270391,77176134,77220409,ENSBTAG00000046552,GGACT,protein_coding
"GxE meta-analysis, day length",12,77270391,77235998,77292275,ENSBTAG00000007066,TMTC4,protein_coding
"GxE meta-analysis, day length",12,77270391,77308514,77339621,ENSBTAG00000053717,,lncRNA
"GxE meta-analysis, day length",13,5431969,5455770,5474367,ENSBTAG00000048432,BTBD3,protein_coding
"GxE meta-analysis, day length",13,36521749,36304106,36527690,ENSBTAG00000017354,MPP7,protein_coding
"GxE meta-analysis, day length",13,36523474,36304106,36527690,ENSBTAG00000017354,MPP7,protein_coding
"GxE meta-analysis, day length",13,36521749,36532195,36588910,ENSBTAG00000053259,,lncRNA
"GxE meta-analysis, day length",13,36523474,36532195,36588910,ENSBTAG00000053259,,lncRNA
"Main effect, meta-analysis",13,39602718,39364968,39573516,ENSBTAG00000020382,RIN2,protein_coding
"Main effect, meta-analysis",13,39602718,39584264,39602876,ENSBTAG00000001144,NAA20,protein_coding
"Main effect, meta-analysis",13,39602718,39604529,39628940,ENSBTAG00000008472,CRNKL1,protein_coding
"Main effect, meta-analysis",13,39602718,39635309,39875499,ENSBTAG00000009291,CFAP61,protein_coding
"GxE meta-analysis, day length",13,44517432,44448439,44475156,ENSBTAG00000052258,,lncRNA
"GxE meta-analysis, day length",13,44524894,44448439,44475156,ENSBTAG00000052258,,lncRNA
"GxE meta-analysis, day length",13,44579548,44597240,44605699,ENSBTAG00000015188,KLF6,protein_coding
"GxE meta-analysis, day length",13,44599717,44597240,44605699,ENSBTAG00000015188,KLF6,protein_coding
"GxE meta-analysis, day length",13,44579548,44602930,44602993,ENSBTAG00000050577,bta-mir-12028,miRNA
"GxE meta-analysis, day length",13,44599717,44602930,44602993,ENSBTAG00000050577,bta-mir-12028,miRNA
"GxE meta-analysis, day length",13,45099582,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45101726,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45108258,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45112674,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45113674,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45114484,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45118111,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45121045,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45125396,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45127482,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45127719,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45131139,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45135756,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45143400,45081151,45107887,ENSBTAG00000002685,PITRM1,protein_coding
"GxE meta-analysis, day length",13,45099582,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45101726,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45108258,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45112674,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45113674,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45114484,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45118111,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45121045,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45125396,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45127482,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45127719,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45131139,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45135756,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45143400,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,45165819,45107041,45161102,ENSBTAG00000002683,PFKP,protein_coding
"GxE meta-analysis, day length",13,51498066,51444141,51461167,ENSBTAG00000018732,HSPA12B,protein_coding
"GxE meta-analysis, day length",13,51498066,51472347,51472805,ENSBTAG00000027412,,protein_coding
"GxE meta-analysis, day length",13,51498066,51487257,51505680,ENSBTAG00000013167,SIGLEC1,protein_coding
"GxE meta-analysis, day length",13,51529137,51487257,51505680,ENSBTAG00000013167,SIGLEC1,protein_coding
"GxE meta-analysis, day length",13,51498066,51512829,51523330,ENSBTAG00000013163,ADAM33,protein_coding
"GxE meta-analysis, day length",13,51529137,51512829,51523330,ENSBTAG00000013163,ADAM33,protein_coding
"GxE meta-analysis, day length",13,51498066,51526771,51531465,ENSBTAG00000013160,GFRA4,protein_coding
"GxE meta-analysis, day length",13,51529137,51526771,51531465,ENSBTAG00000013160,GFRA4,protein_coding
"GxE meta-analysis, day length",13,51498066,51545361,51731772,ENSBTAG00000003848,ATRN,protein_coding
"GxE meta-analysis, day length",13,51529137,51545361,51731772,ENSBTAG00000003848,ATRN,protein_coding
"GxE meta-analysis, day length",13,51598844,51545361,51731772,ENSBTAG00000003848,ATRN,protein_coding
"GxE meta-analysis, day length",13,51640779,51545361,51731772,ENSBTAG00000003848,ATRN,protein_coding
"GxE meta-analysis, day length",13,51649740,51545361,51731772,ENSBTAG00000003848,ATRN,protein_coding
"GxE meta-analysis, day length",13,51769126,51545361,51731772,ENSBTAG00000003848,ATRN,protein_coding
"GxE meta-analysis, day length",13,51771420,51545361,51731772,ENSBTAG00000003848,ATRN,protein_coding
"GxE meta-analysis, day length",13,51780574,51545361,51731772,ENSBTAG00000003848,ATRN,protein_coding
"GxE meta-analysis, day length",13,51769126,51791839,51961386,ENSBTAG00000003494,C13H20orf194,protein_coding
"GxE meta-analysis, day length",13,51771420,51791839,51961386,ENSBTAG00000003494,C13H20orf194,protein_coding
"GxE meta-analysis, day length",13,51780574,51791839,51961386,ENSBTAG00000003494,C13H20orf194,protein_coding
"GxE meta-analysis, day length",13,52556307,52514469,52519429,ENSBTAG00000018813,IDH3B,protein_coding
"GxE meta-analysis, day length",13,52556307,52519428,52524691,ENSBTAG00000018812,NOP56,protein_coding
"GxE meta-analysis, day length",13,52571514,52519428,52524691,ENSBTAG00000018812,NOP56,protein_coding
"GxE meta-analysis, day length",13,52556307,52520776,52520847,ENSBTAG00000042198,SNORD57,snoRNA
"GxE meta-analysis, day length",13,52556307,52521106,52521176,ENSBTAG00000042607,SNORD56,snoRNA
"GxE meta-analysis, day length",13,52556307,52521602,52521687,ENSBTAG00000042631,SNORD86,snoRNA
"GxE meta-analysis, day length",13,52571514,52521602,52521687,ENSBTAG00000042631,SNORD86,snoRNA
"GxE meta-analysis, day length",13,52556307,52522577,52522712,ENSBTAG00000043077,,snoRNA
"GxE meta-analysis, day length",13,52571514,52522577,52522712,ENSBTAG00000043077,,snoRNA
"GxE meta-analysis, day length",13,52556307,52523457,52523528,ENSBTAG00000043306,SNORD110,snoRNA
"GxE meta-analysis, day length",13,52571514,52523457,52523528,ENSBTAG00000043306,SNORD110,snoRNA
"GxE meta-analysis, day length",13,52556307,52539174,52640959,ENSBTAG00000018811,TMC2,protein_coding
"GxE meta-analysis, day length",13,52571514,52539174,52640959,ENSBTAG00000018811,TMC2,protein_coding
"Main effect, DEBVs",13,54135002,54079478,54089223,ENSBTAG00000038974,STMN3,protein_coding
"Main effect, DEBVs",13,54135002,54101587,54112865,ENSBTAG00000014769,GMEB2,protein_coding
"Main effect, DEBVs",13,54135002,54115803,54119242,ENSBTAG00000027405,FNDC11,protein_coding
"Main effect, DEBVs",13,54135002,54119668,54125427,ENSBTAG00000001985,SRMS,protein_coding
"Main effect, DEBVs",13,54135002,54128175,54135496,ENSBTAG00000044091,PTK6,protein_coding
"Main effect, DEBVs",13,54135002,54136171,54137886,ENSBTAG00000031800,PPDPF,protein_coding
"Main effect, DEBVs",13,54135002,54151514,54159711,ENSBTAG00000021685,EEF1A2,protein_coding
"Main effect, DEBVs",13,54135002,54181777,54183410,ENSBTAG00000055287,,lncRNA
"GxE meta-analysis, day length",13,56539514,56543258,56546979,ENSBTAG00000050877,,lncRNA
"GxE meta-analysis, day length",13,56541774,56543258,56546979,ENSBTAG00000050877,,lncRNA
"GxE meta-analysis, day length",13,56543382,56543258,56546979,ENSBTAG00000050877,,lncRNA
"GxE meta-analysis, day length",13,56544996,56543258,56546979,ENSBTAG00000050877,,lncRNA
"GxE meta-analysis, day length",13,56545133,56543258,56546979,ENSBTAG00000050877,,lncRNA
"GxE meta-analysis, day length",13,56545852,56543258,56546979,ENSBTAG00000050877,,lncRNA
"GxE meta-analysis, day length",13,56547779,56543258,56546979,ENSBTAG00000050877,,lncRNA
"Main effect, DEBVs",13,56541774,56543258,56546979,ENSBTAG00000050877,,lncRNA
"Main effect, DEBVs",13,56543382,56543258,56546979,ENSBTAG00000050877,,lncRNA
"Main effect, DEBVs",13,56544996,56543258,56546979,ENSBTAG00000050877,,lncRNA
"Main effect, meta-analysis",13,56539514,56543258,56546979,ENSBTAG00000050877,,lncRNA
"Main effect, meta-analysis",13,56541774,56543258,56546979,ENSBTAG00000050877,,lncRNA
"Main effect, meta-analysis",13,56543382,56543258,56546979,ENSBTAG00000050877,,lncRNA
"Main effect, meta-analysis",13,56544996,56543258,56546979,ENSBTAG00000050877,,lncRNA
"GxE meta-analysis, day length",13,56539514,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"GxE meta-analysis, day length",13,56541774,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"GxE meta-analysis, day length",13,56543382,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"GxE meta-analysis, day length",13,56544996,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"GxE meta-analysis, day length",13,56545133,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"GxE meta-analysis, day length",13,56545852,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"GxE meta-analysis, day length",13,56547779,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"Main effect, DEBVs",13,56541774,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"Main effect, DEBVs",13,56543382,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"Main effect, DEBVs",13,56544996,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"Main effect, meta-analysis",13,56539514,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"Main effect, meta-analysis",13,56541774,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"Main effect, meta-analysis",13,56543382,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"Main effect, meta-analysis",13,56544996,56552858,56590691,ENSBTAG00000020261,CDH26,protein_coding
"Main effect, DEBVs",13,57021032,57061094,57088977,ENSBTAG00000012109,EDN3,protein_coding
"Main effect, DEBVs",13,57029389,57061094,57088977,ENSBTAG00000012109,EDN3,protein_coding
"Main effect, DEBVs",13,57037937,57061094,57088977,ENSBTAG00000012109,EDN3,protein_coding
"Main effect, meta-analysis",13,57037937,57061094,57088977,ENSBTAG00000012109,EDN3,protein_coding
COJO of main effect meta-analysis,13,57182321,57147352,57251774,ENSBTAG00000011940,ZNF831,protein_coding
